Time,Open,High,Low,Close,Volume
2026-06-14 02:00:00,64437.8,64587.0,64375.9,64439.1,605
2026-06-14 03:00:00,64433.0,64569.1,64361.2,64545.5,752
2026-06-14 04:00:00,64545.5,64700.2,64490.1,64563.9,811
2026-06-14 05:00:00,64563.9,64623.7,64463.1,64478.76,514
2026-06-14 06:00:00,64478.76,64534.05,64454.76,64534.05,328
2026-06-14 07:00:00,64534.05,64552.23,64314.77,64327.82,337
2026-06-14 08:00:00,64330.81,64399.95,64282.17,64326.75,353
2026-06-14 09:00:00,64334.12,64466.99,64227.41,64278.8,740
2026-06-14 10:00:00,64278.8,64434.7,64210.2,64420.4,455
2026-06-14 11:00:00,64420.4,64507.75,64378.3,64449.9,472
2026-06-14 12:00:00,64449.9,64610.05,64314.6,64606.7,733
2026-06-14 13:00:00,64606.7,64657.4,64486.5,64514.6,541
2026-06-14 14:00:00,64514.6,64634.9,64446.7,64537.1,529
2026-06-14 15:00:00,64538.1,64554.4,64284.8,64318.4,640
2026-06-14 16:00:00,64318.4,64388.7,64235.9,64311.0,798
2026-06-14 17:00:00,64315.6,64334.4,63857.3,63976.2,1599
2026-06-14 18:00:00,63971.2,64139.9,63967.1,64012.6,1029
2026-06-14 19:00:00,64011.5,64200.7,63922.7,63934.2,893
2026-06-14 20:00:00,63933.0,64016.6,63683.9,63724.2,959
2026-06-14 21:00:00,63724.2,63807.2,63674.3,63807.2,701
2026-06-14 22:00:00,63805.2,63854.9,63720.2,63792.2,541
2026-06-14 23:00:00,63797.7,64085.9,63781.8,63998.4,693
2026-06-15 00:00:00,64001.7,65673.9,63997.6,65305.0,4407
2026-06-15 01:00:00,65312.7,65572.6,64941.8,65411.3,4226
2026-06-15 02:00:00,65413.8,65792.8,65250.8,65738.8,2434
2026-06-15 03:00:00,65736.65,65894.7,65473.3,65617.4,2268
2026-06-15 04:00:00,65617.4,65708.8,65345.0,65505.5,1737
2026-06-15 05:00:00,65511.8,65774.4,65404.3,65454.4,1286
